ID,SumLoad,NormLoad,AvgLoad,NormRatio,Country,State,SiteName
724660_TMY2,"[962.19030663 829.43360373 839.38286303 743.15073125 685.83793413
 601.54448405 629.3367388  599.34859258 633.78945248 739.02973382
 806.05181526 928.30860956]","[1.         0.86202656 0.87236678 0.77235317 0.71278824 0.62518244
 0.6540668  0.62290026 0.65869449 0.76807023 0.83772598 0.96478691]","[1.29326654 1.2342762  1.12820277 1.03215379 0.92182518 0.83547845
 0.84588271 0.80557607 0.88026313 0.99331953 1.11951641 1.24772663]",962.19030662951,USA,CO,Colorado Springs
725370_TMY2,"[968.32490364 845.34457181 822.1966934  732.20706086 675.60039633
 583.13775461 668.77127608 617.73965571 641.8345166  744.67153658
 800.35424462 936.94184062]","[1.         0.87299683 0.84909176 0.75615845 0.69770011 0.60221291
 0.69064761 0.63794668 0.66282971 0.76903066 0.82653481 0.96759036]","[1.30151197 1.25795323 1.10510308 1.01695425 0.90806505 0.80991355
 0.89888612 0.83029524 0.89143683 1.0009026  1.11160312 1.25933043]",968.3249036396273,USA,MI,Detroit-Metro AP
722030_TMY2,"[1013.70613154 1004.87589842 1003.94299517 1009.12815032 1075.66384946
 1217.21567428 1344.23220763 1346.79882952 1328.86698977 1296.47537053
 1159.16927195 1093.98589346]","[0.75267821 0.74612175 0.74542907 0.74927905 0.7986819  0.90378433
 0.99809428 1.         0.98668558 0.96263476 0.86068479 0.81228604]","[1.36250824 1.49535104 1.34938575 1.40156688 1.44578474 1.69057733
 1.80676372 1.81021348 1.8456486  1.74257442 1.60995732 1.47041115]",1346.798829523014,USA,FL,West Palm Beach
724620_TMY2,"[1016.65412143  868.04939636  843.02692053  750.5725727   698.58610953
  600.99349475  605.57384304  580.57546701  644.48185995  772.07039157
  841.49999412  995.77526505]","[1.         0.85382961 0.82921704 0.73827721 0.68714236 0.59114844
 0.59565375 0.57106488 0.63392441 0.75942287 0.82771513 0.97946317]","[1.36647059 1.29174017 1.1331007  1.04246191 0.93895982 0.83471319
 0.81394334 0.78034337 0.89511369 1.03772902 1.16874999 1.33840761]",1016.6541214302116,USA,CO,Alamosa
727720_TMY2,"[992.84749071 853.85513187 823.86841169 741.4147648  689.87269757
 613.7231745  630.18803292 604.60463637 641.51419621 755.52054483
 816.53160655 964.23041695]","[1.         0.86000634 0.82980359 0.74675594 0.69484257 0.61814446
 0.63472793 0.60896023 0.64613569 0.76096334 0.82241393 0.97117677]","[1.33447243 1.27061776 1.10735002 1.02974273 0.92724825 0.8523933
 0.84702693 0.81264064 0.89099194 1.0154846  1.13407168 1.29600862]",992.8474907061981,USA,MT,Helena
725570_TMY2,"[990.97169272 854.16868854 812.21752357 717.58997684 659.18865535
 618.71106217 773.94494904 693.46720967 637.78368708 744.19167184
 811.24971757 950.24274377]","[1.         0.86195064 0.81961728 0.72412762 0.66519423 0.62434787
 0.78099602 0.69978508 0.64359425 0.75097167 0.81864066 0.95889999]","[1.3319512  1.27108436 1.09169022 0.99665275 0.88600626 0.85932092
 1.04024859 0.93207958 0.88581068 1.00025762 1.12673572 1.27720799]",990.9716927226319,USA,IA,Sioux City
724860_TMY2,"[989.9099415  838.87147454 838.17667146 751.24708777 708.15905192
 598.97659169 620.14590177 594.31924972 645.31606676 759.00285339
 821.56776312 970.13206703]","[1.         0.84742201 0.84672013 0.75890448 0.71537725 0.6050819
 0.62646699 0.60037709 0.65189371 0.7667393  0.82994193 0.98002053]","[1.33052411 1.24832065 1.12658155 1.04339873 0.95182668 0.83191193
 0.83352944 0.7988162  0.89627231 1.02016513 1.14106634 1.30394095]",989.9099414969286,USA,NV,Ely
727910_TMY2,"[805.82530724 703.48350342 704.57359232 645.18175142 615.90352378
 546.28201779 554.61146792 542.00264461 580.37648804 674.69986154
 702.97490585 789.26886348]","[1.         0.87299753 0.87435029 0.80064717 0.76431395 0.67791618
 0.68825273 0.67260564 0.72022619 0.83727807 0.87236638 0.97945405]","[1.08309853 1.04685045 0.94700752 0.89608577 0.82782732 0.75872502
 0.74544552 0.72849818 0.80607846 0.90685465 0.97635404 1.06084525]",805.8253072390254,USA,OR,Astoria
724760_TMY2,"[960.29682747 819.37510671 808.99445788 709.75175429 657.48587119
 604.38044169 749.56732809 747.16896982 651.68171004 724.33310338
 796.90255942 938.39395117]","[1.         0.85325191 0.84244208 0.73909622 0.68466942 0.62936836
 0.78055796 0.77806044 0.67862529 0.75428043 0.82985025 0.97719156]","[1.29072154 1.21930819 1.08735814 0.98576633 0.88371757 0.83941728
 1.00748297 1.00425937 0.90511349 0.973566   1.10680911 1.26128219]",960.2968274704905,USA,CO,Grand Junction
727530_TMY2,"[1040.87485499  901.20975747  848.96830912  736.52665753  676.63976112
  587.32503688  633.17245992  642.96739165  676.91071518  757.18308756
  842.45569152 1001.37096588]","[1.         0.86581951 0.81562957 0.70760347 0.65006831 0.56426095
 0.60830796 0.61771825 0.65032863 0.72744873 0.8093727  0.96204742]","[1.39902534 1.34108595 1.14108644 1.02295369 0.90946204 0.81572922
 0.85103825 0.86420348 0.94015377 1.0177192  1.17007735 1.34592872]",1040.8748549873485,USA,ND,Fargo
